candidate_id,candidate_name,candidate_url,party,criminal_cases,education,age,total_assets,liabilities,constituency,constituency_id,district,total_assets_inr,liabilities_inr,age_int,criminal_cases_int
3339,S.Sundaramoorthy Pandiyar,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3339,IND,0,12th Pass,61,"Rs 11,35,115 ~ 11 Lacs+","Rs 3,01,000 ~ 3 Lacs+",PALLAVARAM,21,MADURANTAKAM (SC),113511511.0,3010003.0,61,0
3344,S.Vetri Vel,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3344,IND,0,Others,30,"Rs 5,06,900 ~ 5 Lacs+","Rs 21,500 ~ 21 Thou+",PALLAVARAM,21,MADURANTAKAM (SC),5069005.0,2150021.0,30,0
3329,T.Amirtha Kanthan,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3329,Naam Indiar Party,0,Others,44,,,PALLAVARAM,21,MADURANTAKAM (SC),,,44,0
755,V.Venkatesan,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=755,AIADMK,0,Doctorate,54,"Rs 66,04,36,508 ~ 66 Crore+","Rs 9,15,16,760 ~ 9 Crore+",PALLAVARAM,21,MADURANTAKAM (SC),66043650866.0,915167609.0,54,0
1675,A.Mohammed Gani,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1675,IND,0,8th Pass,45,"Rs 2,15,219 ~ 2 Lacs+",Rs 0 ~,SHOLINGANALLUR,20,PALLAVARAM,2152192.0,0.0,45,0
1671,Chandrasekaran,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1671,IND,0,Graduate Professional,41,"Rs 1,08,100 ~ 1 Lacs+",Rs 0 ~,SHOLINGANALLUR,20,PALLAVARAM,1081001.0,0.0,41,0
1673,D. Srinivasan,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1673,IND,0,12th Pass,46,,,SHOLINGANALLUR,20,PALLAVARAM,,,46,0
1677,E. Murali B.A,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1677,IND,0,Graduate,48,"Rs 34,67,000 ~ 34 Lacs+",Rs 0 ~,SHOLINGANALLUR,20,PALLAVARAM,346700034.0,0.0,48,0
1681,E. Vijay,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1681,IND,0,Others,31,"Rs 3,41,000 ~ 3 Lacs+",Rs 0 ~,SHOLINGANALLUR,20,PALLAVARAM,3410003.0,0.0,31,0
851,Ecr P Saravanan,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=851,Tamilaga Vettri Kazhagam,3,5th Pass,45,,,SHOLINGANALLUR,20,PALLAVARAM,,,45,3
1682,Farmer Jayaraman S K J,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1682,IND,0,12th Pass,50,"Rs 4,77,73,857 ~ 4 Crore+","Rs 1,43,21,200 ~ 1 Crore+",SHOLINGANALLUR,20,PALLAVARAM,477738574.0,143212001.0,50,0
1672,G Suresh Kumar,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1672,IND,0,Post Graduate,39,"Rs 33,06,000 ~ 33 Lacs+",Rs 0 ~,SHOLINGANALLUR,20,PALLAVARAM,330600033.0,0.0,39,0
1665,K. Vishwanathan,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1665,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,0,Post Graduate,40,"Rs 12,25,000 ~ 12 Lacs+",Rs 0 ~,SHOLINGANALLUR,20,PALLAVARAM,122500012.0,0.0,40,0
1241,K.P.Kandan,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1241,AIADMK,5,8th Pass,63,"Rs 75,40,87,124 ~ 75 Crore+","Rs 15,00,00,000 ~ 15 Crore+",SHOLINGANALLUR,20,PALLAVARAM,75408712475.0,15000000015.0,63,5
1662,M. Alexandar,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1662,Naam Indiar Party,0,Graduate,43,,,SHOLINGANALLUR,20,PALLAVARAM,,,43,0
1663,M. Christhu Dass,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1663,Dravida Jananayaga Makkal Katchi,0,Graduate Professional,48,"Rs 37,52,000 ~ 37 Lacs+",Rs 0 ~,SHOLINGANALLUR,20,PALLAVARAM,375200037.0,0.0,48,0
1664,M.G.Ramu,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1664,Jebamani Janata,0,10th Pass,59,"Rs 7,24,000 ~ 7 Lacs+",Rs 0 ~,SHOLINGANALLUR,20,PALLAVARAM,7240007.0,0.0,59,0
1676,Mutharasan,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1676,IND,0,Graduate Professional,39,,,SHOLINGANALLUR,20,PALLAVARAM,,,39,0
1674,N.Prashantha Rao,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1674,IND,0,Others,33,"Rs 12,83,419 ~ 12 Lacs+",Rs 0 ~,SHOLINGANALLUR,20,PALLAVARAM,128341912.0,0.0,33,0
1670,P.Chandra Kanth,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1670,IND,0,Post Graduate,32,"Rs 2,73,98,980 ~ 2 Crore+","Rs 99,97,859 ~ 99 Lacs+",SHOLINGANALLUR,20,PALLAVARAM,273989802.0,999785999.0,32,0
1666,R Ravichandran,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1666,IND,0,8th Pass,60,"Rs 44,25,000 ~ 44 Lacs+","Rs 4,00,000 ~ 4 Lacs+",SHOLINGANALLUR,20,PALLAVARAM,442500044.0,4000004.0,60,0
1678,R.Yogeshwaran,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1678,IND,0,12th Pass,35,"Rs 3,17,134 ~ 3 Lacs+",Rs 0 ~,SHOLINGANALLUR,20,PALLAVARAM,3171343.0,0.0,35,0
1680,Rajesh,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1680,IND,0,Graduate Professional,26,,,SHOLINGANALLUR,20,PALLAVARAM,,,26,0
